Correct,Predict,Label
1,2,False
2,2,Correct
1,2,False
2,2,Correct
1,2,False
2,2,Correct
2,1,False
2,2,Correct
2,2,Correct
1,2,False
1,2,False
1,1,Correct
2,2,Correct
2,1,False
2,2,Correct
1,2,False
2,2,Correct
1,2,False
2,2,Correct
2,2,Correct
2,2,Correct
1,2,False
2,2,Correct
2,1,False
2,2,Correct
2,2,Correct
1,2,False
1,1,Correct
2,2,Correct
1,1,Correct
1,1,Correct
2,2,Correct
2,2,Correct
1,2,False
1,2,False
2,2,Correct
1,1,Correct
1,1,Correct
1,2,False
1,2,False
2,1,False
1,2,False
2,2,Correct
2,2,Correct
2,1,False
1,1,Correct
2,1,False
2,1,False
1,1,Correct
1,2,False
2,1,False
2,1,False
1,2,False
1,2,False
1,1,Correct
2,1,False
1,2,False
2,1,False
2,2,Correct
2,1,False
2,2,Correct
2,2,Correct
2,1,False
2,2,Correct
2,1,False
1,2,False
2,2,Correct
2,2,Correct
1,1,Correct
2,1,False
2,2,Correct
2,2,Correct
2,2,Correct
2,2,Correct
2,2,Correct
1,2,False
2,2,Correct
1,2,False
1,2,False
1,2,False
2,2,Correct
1,1,Correct
2,1,False
2,2,Correct
1,1,Correct
2,2,Correct
2,2,Correct
2,2,Correct
2,2,Correct
2,1,False
2,1,False
2,1,False
2,2,Correct
1,2,False
2,2,Correct
1,1,Correct
2,2,Correct
1,2,False
2,1,False
2,2,Correct
2,1,False
2,2,Correct
1,1,Correct
1,2,False
1,1,Correct
1,1,Correct
2,2,Correct
2,2,Correct
2,2,Correct
2,2,Correct
2,2,Correct
2,2,Correct
2,2,Correct
2,2,Correct
1,1,Correct
2,2,Correct
2,2,Correct
1,1,Correct
1,1,Correct
2,2,Correct
2,2,Correct
2,2,Correct
1,1,Correct
2,2,Correct
1,2,False
2,2,Correct
2,1,False
1,1,Correct
2,2,Correct
2,2,Correct
2,2,Correct
1,2,False
2,2,Correct
1,1,Correct
2,2,Correct
2,2,Correct
2,2,Correct
1,2,False
2,2,Correct
2,2,Correct
2,2,Correct
1,1,Correct
1,1,Correct
2,2,Correct
2,2,Correct
2,2,Correct
2,2,Correct
2,2,Correct
1,2,False
2,2,Correct
1,1,Correct
1,1,Correct
2,1,False
2,2,Correct
1,2,False
2,2,Correct
2,2,Correct
2,2,Correct
2,2,Correct
1,1,Correct
2,2,Correct
2,2,Correct
2,1,False
1,1,Correct
2,2,Correct
2,2,Correct
2,2,Correct
2,1,False
1,2,False
1,1,Correct
1,2,False
1,1,Correct
1,1,Correct
2,1,False
1,1,Correct
2,2,Correct
2,2,Correct
1,2,False
2,1,False
2,1,False
2,1,False
2,1,False
2,2,Correct
2,2,Correct
2,2,Correct
2,2,Correct
1,1,Correct
2,2,Correct
2,1,False
2,2,Correct
2,2,Correct
2,2,Correct
1,1,Correct
2,2,Correct
1,2,False
1,1,Correct
2,2,Correct
2,2,Correct
2,2,Correct
1,1,Correct
1,2,False
2,1,False
2,1,False
2,2,Correct
1,2,False
2,2,Correct
