Map,Classification,ModelPrecision
DC,FM,35
DC,FM,50
DC,FM,40
DC,FM,45
DC,FM,61.9047619
DC,FM,71.42857143
DC,FM,38.0952381
DC,FM,42.85714286
DC,FM,42.85714286
DC,FM,38.0952381
DC,NC,55
DC,NC,65
DC,NC,30
DC,NC,60
DC,NC,61.9047619
DC,NC,95.23809524
DC,NC,80.95238095
DC,NC,80.95238095
DC,NC,57.14285714
DC,NC,71.42857143
DC,Four,30
DC,Four,20
DC,Four,20
DC,Four,30
DC,Four,47.61904762
DC,Four,28.57142857
DC,Four,52.38095238
DC,Four,42.85714286
DC,Four,33.33333333
DC,Four,19.04761905
LM,FM,55
LM,FM,50
LM,FM,45
LM,FM,40
LM,FM,47.61904762
LM,FM,42.85714286
LM,FM,47.61904762
LM,FM,38.0952381
LM,FM,57.14285714
LM,FM,61.9047619
LM,NC,50
LM,NC,50
LM,NC,40
LM,NC,60
LM,NC,57.14285714
LM,NC,71.42857143
LM,NC,57.14285714
LM,NC,42.85714286
LM,NC,42.85714286
LM,NC,61.9047619
LM,Four,50
LM,Four,20
LM,Four,20
LM,Four,15
LM,Four,23.80952381
LM,Four,9.523809524
LM,Four,28.57142857
LM,Four,38.0952381
LM,Four,23.80952381
LM,Four,14.28571429
